# Name                     RAdeg             DEdeg               Memb Disk Acc K2var   umag   gmag   rmag   imag   Hamag  SpT   Avmag                Lbol                Mstar               Rstar              logAge             logMacc             DlogMacc+ DlogMacc-
  EPIC224361948            271.08042         -24.38183           y    y*   2   MP      18.826 16.834 15.343 14.592 14.829 K5    1.23                 3.771               0.891               3.342              5.56               -7.676              0.126     0.464    
  EPIC224362195            271.13767         -24.38139           y    n    0   P       12.18  11.78  11.752 11.752 11.708 B7    1.566                283.952             3.76                3.322              6.15               ""                  ""        ""       
  EPIC224362632            271.11863         -24.38061           y    ?    1   QPS     19.693 17.821 16.318 15.597 15.979 K5    1.178                1.457               0.959               2.077              6.15               -9.136              0.837     0.193    
  EPIC224362715            271.11329         -24.38044           y    n    2   QPS     10.655 10.528 10.533 10.535 10.474 B0.75 1.907                5888.664            10.037              3.893              6.3                -5.439              0.017     ""       
  EPIC224362997            271.17596         -24.37992           y    n    1   P       ""     18.805 17.15  16.218 16.627 K8.75 1.032                0.919               0.556               2.084              5.9                -8.663              0.377     0.572    
  EPIC224363457            271.16633         -24.379             y    n    2   N       11.012 10.812 10.852 10.892 10.812 F0    0.0                  70.357              3.089               5.317              6.23               -7.123              0.292     ""       
  EPIC224363737            270.91804         -24.37853           y    ?    2   EB      10.878 10.65  10.055 9.586  9.86   A3.25 2.33                 1080.493            7.369               15.251             5.13               -5.068              0.22      0.485    
  EPIC224364219            271.09871         -24.37772           y    n    2   QPS     19.962 17.276 15.798 15.065 15.389 K7.5  0.665                2.035               0.602               2.872              5.58               -8.73               0.386     ""       
  EPIC224364733            270.83092         -24.37683           y    y    2   QPS     16.545 15.308 14.672 14.411 14.525 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224365014            270.85817         -24.37633           y    y    0   QPS     14.369 13.214 12.85  12.696 12.786 F1.25 0.408                13.803              1.763               2.462              6.88               ""                  ""        ""       
  EPIC224365098            271.09492         -24.37619           y    y*   0   P       ""     17.705 16.121 15.389 15.966 K6.75 1.056                1.877               0.69                2.633              5.71               ""                  ""        ""       
  EPIC224365677            271.12304         -24.37514           y    n    0   ?       17.193 15.181 13.998 13.435 13.745 K2.5  0.69                 6.701               1.559               3.712              5.72               ""                  ""        ""       
  EPIC224365723            270.91028         -24.37544           y    y    2   U       17.505 17.388 15.889 15.349 13.67  ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224365786            271.15988         -24.37496           y    n    0   QPS     ""     19.104 17.309 16.336 17.033 K8    1.714                1.26                0.595               2.331              5.8                ""                  ""        ""       
  EPIC224366004            271.03129         -24.37444           y    n*   0   MP      15.145 13.712 12.899 12.541 12.71  G6.25 0.092                9.365               2.382               3.348              6.32               ""                  ""        ""       
  EPIC224366057            271.07208         -24.37444           y    y*   0   QPS     ""     17.935 16.361 15.602 16.113 K7.75 0.728                1.281               0.619               2.313              5.82               ""                  ""        ""       
  EPIC224366417            271.07838         -24.37381           y    y    2   ""      19.93  17.593 16.137 15.358 15.614 K7.5  0.234                1.009               0.677               2.023              6.02               -8.789              0.643     ""       
  EPIC224366477            271.06525         -24.37372           y    y    0   MP      ""     19.19  17.324 16.178 16.96  K9.75 1.927                1.936               0.436               3.227              5.16               ""                  ""        ""       
  EPIC224366753            270.95108         -24.37314           y    y*   1   P       17.037 15.521 14.489 14.009 14.087 G9.75 0.47                 3.0                 1.655               2.056              6.66               -8.315              0.251     0.178    
  EPIC224366764            270.95929         -24.37314           y    y    0   S       19.343 16.796 15.457 14.791 15.238 K0.5  1.996                4.612               1.974               2.651              6.32               ""                  ""        ""       
  EPIC224366977            271.03071         -24.37272           y    n    0   QPS     17.505 15.332 14.074 13.52  13.829 K1.5  1.407                10.61               2.167               4.298              5.74               ""                  ""        ""       
  EPIC224367284            271.05058         -24.37217           y    n*   1   QPD     19.671 17.79  16.408 15.74  15.954 K5    0.769                1.022               0.944               1.795              6.33               -8.786              0.114     0.427    
  EPIC224367988            270.83871         -24.37086           ?    n    0   P       16.809 14.777 13.704 13.283 13.51  ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224368142            271.0383          -24.37072           ?    n    2   ?       19.663 17.962 16.687 16.034 16.295 K2    1.246                0.852               1.136               1.26               7.07               -8.847              0.054     ""       
  EPIC224368354            271.11421         -24.37033           y    n    1   S       ""     18.43  16.672 15.732 16.182 K5    2.324                2.735               0.898               2.846              5.73               -8.225              0.4       0.723    
  EPIC224368871            271.09475         -24.36939           y    y*   2   P       10.029 10.018 9.87   9.757  9.418  A2.25 0.986                458.896             5.318               9.206              5.6                -4.847              0.023     0.018    
  EPIC224368931            270.95667         -24.36922           y    y    1   ?       ""     ""     18.333 16.647 17.621 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224369041            270.955           -24.369             y    y    1   P       ""     17.549 16.448 15.765 15.982 F9.25 2.172                1.983               1.147               1.311              7.3                -8.455              0.214     0.446    
  EPIC224369549            270.93792         -24.36814           y    y    0   P       10.228 10.045 10.0   9.953  9.915  B9    0.374                313.604             4.082               5.153              5.98               ""                  ""        ""       
  EPIC224369815            271.09417         -24.36761           ?    n    2   MP      14.795 13.688 13.359 13.223 13.303 F1    0.0                  6.034               1.596               1.618              7.11               -7.597              0.115     ""       
  EPIC224370300            271.1425          -24.36683           y    n    0   P       10.173 9.869  9.835  9.849  9.778  B3.25 1.55                 3030.878            7.462               6.892              5.31               ""                  ""        ""       
  EPIC224370333            271.08479         -24.36681           y    n    0   QPS     18.543 16.225 14.942 14.378 14.717 K2.25 1.379                4.935               1.622               3.108              5.95               ""                  ""        ""       
  EPIC224370926            271.13034         -24.36573           y    ""   0   P       ""     18.542 16.87  16.076 16.489 K9.5  0.812                1.089               0.483               2.381              5.72               ""                  ""        ""       
